Entidad,Valor,Mes,Anio
2,25.01,6,2024
2,25.22,7,2024
2,25.49,8,2024
2,25.64,9,2024
2,25.47,10,2024
2,25.45,11,2024
2,25.4,12,2024
2,25.42,1,2025
2,25.3,2,2025
2,24.45,3,2025
2,24.29,4,2025
3,15.67,1,2017
3,15.65,2,2017
3,15.56,3,2017
3,15.59,4,2017
3,15.49,5,2017
3,15.39,6,2017
3,15.32,7,2017
3,15.38,8,2017
3,15.6,9,2017
3,15.72,10,2017
3,15.81,11,2017
3,15.99,12,2017
3,16.67,1,2018
3,17.26,2,2018
3,17.43,3,2018
3,17.53,4,2018
3,17.7,5,2018
3,17.98,6,2018
3,18.39,7,2018
3,19.0,8,2018
3,19.24,9,2018
3,19.44,10,2018
3,19.46,11,2018
3,19.39,12,2018
3,19.18,1,2019
3,19.44,2,2019
3,19.91,3,2019
3,19.75,4,2019
3,19.69,5,2019
3,19.66,6,2019
3,19.62,7,2019
3,19.62,8,2019
3,19.69,9,2019
3,19.54,10,2019
3,19.48,11,2019
3,19.62,12,2019
3,19.73,1,2020
3,19.59,2,2020
3,18.61,3,2020
3,16.02,4,2020
3,16.72,5,2020
3,18.24,6,2020
3,19.34,7,2020
3,19.43,8,2020
3,19.31,9,2020
3,19.22,10,2020
3,18.83,11,2020
3,18.89,12,2020
3,19.82,1,2021
3,20.69,2,2021
3,21.05,3,2021
3,21.08,4,2021
3,21.06,5,2021
3,21.13,6,2021
3,21.29,7,2021
3,21.4,8,2021
3,21.49,9,2021
3,21.62,10,2021
3,21.62,11,2021
3,21.69,12,2021
3,21.91,1,2022
3,22.23,2,2022
3,22.58,3,2022
3,22.6,4,2022
3,22.67,5,2022
3,22.73,6,2022
3,22.81,7,2022
3,22.93,8,2022
3,23.06,9,2022
3,23.23,10,2022
3,23.33,11,2022
3,23.26,12,2022
3,23.16,1,2023
3,23.01,2,2023
3,22.99,3,2023
3,23.0,4,2023
3,22.97,5,2023
3,22.96,6,2023
3,22.98,7,2023
3,23.14,8,2023
3,23.31,9,2023
3,23.3,10,2023
3,23.33,11,2023
3,23.15,12,2023
3,23.17,1,2024
